D:\Data\IMG\center_2020_06_21_17_32_32_588.jpg, D:\Data\IMG\left_2020_06_21_17_32_32_588.jpg, D:\Data\IMG\right_2020_06_21_17_32_32_588.jpg, 0, 0, 0, 7.969719E-05
D:\Data\IMG\center_2020_06_21_17_32_32_689.jpg, D:\Data\IMG\left_2020_06_21_17_32_32_689.jpg, D:\Data\IMG\right_2020_06_21_17_32_32_689.jpg, 0, 0, 0, 7.836665E-05
D:\Data\IMG\center_2020_06_21_17_32_32_791.jpg, D:\Data\IMG\left_2020_06_21_17_32_32_791.jpg, D:\Data\IMG\right_2020_06_21_17_32_32_791.jpg, 0, 0, 0, 7.849811E-05
D:\Data\IMG\center_2020_06_21_17_32_32_893.jpg, D:\Data\IMG\left_2020_06_21_17_32_32_893.jpg, D:\Data\IMG\right_2020_06_21_17_32_32_893.jpg, 0, 0, 0, 7.786514E-05
D:\Data\IMG\center_2020_06_21_17_32_32_995.jpg, D:\Data\IMG\left_2020_06_21_17_32_32_995.jpg, D:\Data\IMG\right_2020_06_21_17_32_32_995.jpg, 0, 0, 0, 8.043848E-05
D:\Data\IMG\center_2020_06_21_17_32_33_095.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_095.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_095.jpg, 0, 0, 0, 7.812677E-05
D:\Data\IMG\center_2020_06_21_17_32_33_198.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_198.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_198.jpg, 0, 0, 0, 7.817706E-05
D:\Data\IMG\center_2020_06_21_17_32_33_302.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_302.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_302.jpg, 0, 0, 0, 7.818557E-05
D:\Data\IMG\center_2020_06_21_17_32_33_402.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_402.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_402.jpg, 0, 0, 0, 7.841593E-05
D:\Data\IMG\center_2020_06_21_17_32_33_503.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_503.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_503.jpg, 0, 0, 0, 7.801248E-05
D:\Data\IMG\center_2020_06_21_17_32_33_606.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_606.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_606.jpg, 0, 0, 0, 7.779662E-05
D:\Data\IMG\center_2020_06_21_17_32_33_707.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_707.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_707.jpg, 0, 0, 0, 7.784121E-05
D:\Data\IMG\center_2020_06_21_17_32_33_808.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_808.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_808.jpg, 0, 0, 0, 7.894893E-05
D:\Data\IMG\center_2020_06_21_17_32_33_912.jpg, D:\Data\IMG\left_2020_06_21_17_32_33_912.jpg, D:\Data\IMG\right_2020_06_21_17_32_33_912.jpg, 0, 0, 0, 7.832654E-05
D:\Data\IMG\center_2020_06_21_17_32_34_016.jpg, D:\Data\IMG\left_2020_06_21_17_32_34_016.jpg, D:\Data\IMG\right_2020_06_21_17_32_34_016.jpg, 0, 0, 0, 7.804363E-05
D:\Data\IMG\center_2020_06_21_17_32_34_117.jpg, D:\Data\IMG\left_2020_06_21_17_32_34_117.jpg, D:\Data\IMG\right_2020_06_21_17_32_34_117.jpg, 0, 0, 0, 7.898763E-05
